start: 1606827519.2226803
time : 1606827521.175873 signal: [{(4, 7): 0}]
time : 1606827521.180222 signal: [{(4, 7): 1}]
time : 1606827521.1846538 signal: [{(4, 7): 0}]
time : 1606827521.1890697 signal: [{(4, 7): 1}]
time : 1606827521.1935408 signal: [{(4, 7): 0}]
time : 1606827521.1981373 signal: [{(4, 7): 1}]
time : 1606827521.2025583 signal: [{(4, 7): 0}]
time : 1606827521.207031 signal: [{(4, 7): 1}]
time : 1606827521.2114165 signal: [{(4, 7): 0}]
time : 1606827521.2158558 signal: [{(4, 7): 1}]
time : 1606827521.220171 signal: [{(4, 7): 0}]
time : 1606827521.2245522 signal: [{(4, 7): 1}]
time : 1606827521.2288203 signal: [{(4, 7): 0}]
time : 1606827521.233092 signal: [{(4, 7): 1}]
time : 1606827521.23739 signal: [{(4, 7): 0}]
time : 1606827521.2417276 signal: [{(4, 7): 1}]
time : 1606827521.2463057 signal: [{(4, 7): 0}]
time : 1606827521.2507627 signal: [{(4, 7): 1}]
time : 1606827521.2562563 signal: [{(4, 7): 0}]
time : 1606827521.260759 signal: [{(4, 7): 1}]
time : 1606827521.2652225 signal: [{(4, 7): 0}]
time : 1606827521.2694676 signal: [{(4, 7): 1}]
time : 1606827521.2739081 signal: [{(4, 7): 0}]
time : 1606827521.278267 signal: [{(4, 7): 1}]
time : 1606827521.28262 signal: [{(4, 7): 0}]
time : 1606827521.2871108 signal: [{(4, 7): 1}]
time : 1606827521.291523 signal: [{(4, 7): 0}]
time : 1606827521.2958956 signal: [{(4, 7): 1}]
time : 1606827521.300295 signal: [{(4, 7): 0}]
time : 1606827521.3047543 signal: [{(4, 7): 1}]
time : 1606827521.3090904 signal: [{(4, 7): 0}]
time : 1606827521.313409 signal: [{(4, 7): 1}]
time : 1606827521.3178682 signal: [{(4, 7): 0}]
time : 1606827521.3222148 signal: [{(4, 7): 1}]
time : 1606827521.3266225 signal: [{(4, 7): 0}]
time : 1606827521.3310406 signal: [{(4, 7): 1}]
time : 1606827521.335336 signal: [{(4, 7): 0}]
time : 1606827521.3397243 signal: [{(4, 7): 1}]
time : 1606827521.3441172 signal: [{(4, 7): 0}]
time : 1606827521.3486555 signal: [{(4, 7): 1}]
time : 1606827521.3529444 signal: [{(4, 7): 0}]
time : 1606827521.3572416 signal: [{(4, 7): 1}]
time : 1606827521.3615286 signal: [{(4, 7): 0}]
time : 1606827521.3658721 signal: [{(4, 7): 1}]
time : 1606827521.3701646 signal: [{(4, 7): 0}]
time : 1606827521.3745477 signal: [{(4, 7): 1}]
time : 1606827521.3789275 signal: [{(4, 7): 0}]
time : 1606827521.3834116 signal: [{(4, 7): 1}]
time : 1606827521.3878264 signal: [{(4, 7): 0}]
time : 1606827521.3921318 signal: [{(4, 7): 1}]
time : 1606827521.396503 signal: [{(4, 7): 0}]
